¡Toma! | Neighborhood: Urban Core | Cuisine: Mexican & Sonoran | Dist: 3 mi
Rosati's | Neighborhood: Eastside & Vail | Cuisine: Italian & Pizza | Dist: 7.1 mi
Rosita's | Neighborhood: Southside & Heritage | Cuisine: Mexican & Sonoran | Dist: 6.9 mi
Rubio's | Neighborhood: Northside & Foothills | Cuisine: Mexican & Sonoran | Dist: 11.4 mi
Rubio's Mexican | Neighborhood: Central & Midtown | Cuisine: Mexican & Sonoran | Dist: 2.2 mi
Rudy's Country Store and Bar-B-Q | Neighborhood: Southside & Heritage | Cuisine: Steakhouse & BBQ | Dist: 4.1 mi
Sa-Ing Thai | Neighborhood: Eastside & Vail | Cuisine: Asian & Sushi | Dist: 15 mi
Sabor | Neighborhood: Central & University | Cuisine: Mexican & Sonoran | Dist: 1.6 mi
Sachiko Sushi | Neighborhood: Eastside & Vail | Cuisine: Asian & Sushi | Dist: 4 mi
Saffron Bites | Neighborhood: Central & University | Cuisine: Mediterranean & Global | Dist: 1.6 mi
Saffron Indian Bistro | Neighborhood: Northside & Foothills | Cuisine: Mediterranean & Global | Dist: 8.3 mi
Saguaro Corners | Neighborhood: Eastside & Vail | Cuisine: American & Comfort | Dist: 9.8 mi
Saguaro Corners Resteraunt and Bar | Neighborhood: Eastside & Vail | Cuisine: American & Comfort | Dist: 11.5 mi
Saguaro Grill | Neighborhood: Urban Core | Cuisine: American & Comfort | Dist: 4 mi
Saigon Pho | Neighborhood: Central & University | Cuisine: Asian & Sushi | Dist: 2 mi
Sakura Teppan | Neighborhood: Eastside & Vail | Cuisine: Asian & Sushi | Dist: 4.5 mi
Salad and Go (Speedway) | Neighborhood: Central & Midtown | Cuisine: Healthy, Vegan & Plant-Based | Dist: 1.2 mi
Salsa Verde | Neighborhood: Eastside & Vail | Cuisine: Mexican & Sonoran | Dist: 4 mi
Sammy's | Neighborhood: Northside & Foothills | Cuisine: Mexican & Sonoran | Dist: 18.8 mi
Samurai Japanese Restaurant | Neighborhood: Northside & Foothills | Cuisine: Asian & Sushi | Dist: 4.4 mi
Samurai Sombrero | Neighborhood: Southside & Heritage | Cuisine: Asian & Sushi | Dist: 6 mi
San Giorgi's Coffee | Neighborhood: Northwest & Marana | Cuisine: Coffee & Cafe | Dist: 9.5 mi
San Pedro Valley Pizza | Neighborhood: Eastside & Vail | Cuisine: Italian & Pizza | Dist: 30.6 mi
Sandyi Oriental Market | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 0.1 mi
Santorini Greek Cafe | Neighborhood: Central & Midtown | Cuisine: Mediterranean & Global | Dist: 0.6 mi
Sauce | Neighborhood: Central & Midtown | Cuisine: Italian & Pizza | Dist: 2.1 mi
Sauce Pizza & Wine | Neighborhood: Central & Midtown | Cuisine: Italian & Pizza | Dist: 2.7 mi
Sauce Pizza and Wine | Neighborhood: Northside & Foothills | Cuisine: Italian & Pizza | Dist: 7.7 mi
Savaya Coffee Market | Neighborhood: Eastside & Vail | Cuisine: Coffee & Cafe | Dist: 4 mi
Sawmill Run | Neighborhood: Eastside & Vail | Cuisine: American & Comfort | Dist: 17.4 mi
Sbarro | Neighborhood: Northside & Foothills | Cuisine: Italian & Pizza | Dist: 4.8 mi
Scented Leaf Tea | Neighborhood: Urban Core | Cuisine: Coffee & Cafe | Dist: 5.4 mi
Scented Leaf Tea House - Congress | Neighborhood: Urban Core | Cuisine: Boba Tea & Beverages | Dist: 2.6 mi
Scented Leaf Tea House - Tanque Verde | Neighborhood: Eastside & Vail | Cuisine: Boba Tea & Beverages | Dist: 4.3 mi
Scented Leaf Tea House - University | Neighborhood: Central & University | Cuisine: Boba Tea & Beverages | Dist: 1.9 mi
Schlotzsky's | Neighborhood: Southside & Heritage | Cuisine: Fast Food & Sandwiches | Dist: 7 mi
Scordato's Pizzeria | Neighborhood: Northside & Foothills | Cuisine: Italian & Pizza | Dist: 5.1 mi
Seis Kitchen | Neighborhood: Westside & Downtown | Cuisine: Mexican & Sonoran | Dist: 3.7 mi
Selena’s Salvadorian Restaurant | Neighborhood: Central & Midtown | Cuisine: Mediterranean & Global | Dist: 1.7 mi
Seoul Shi | Neighborhood: Northside & Foothills | Cuisine: Asian & Sushi | Dist: 3.5 mi
Serial Grillers | Neighborhood: Central & Midtown | Cuisine: Fast Food & Sandwiches | Dist: 1.3 mi
Seven Cups | Neighborhood: Central & Midtown | Cuisine: Coffee & Cafe | Dist: 0.8 mi
Sexy Grilled Cheese | Neighborhood: Central & Midtown | Cuisine: Fast Food & Sandwiches | Dist: 1.5 mi
Sgt. Pepporoni's Pizza | Neighborhood: Northwest & Marana | Cuisine: Italian & Pizza | Dist: 9.5 mi
Shake Shack | Neighborhood: Northside & Foothills | Cuisine: Fast Food & Sandwiches | Dist: 3.5 mi
Shake Smart | Neighborhood: Central & University | Cuisine: Boba Tea & Beverages | Dist: 1.9 mi
Sher-i Punjab | Neighborhood: Central & Midtown | Cuisine: Mediterranean & Global | Dist: 2.4 mi
Shish Kebab House of Tucson | Neighborhood: Central & Midtown | Cuisine: Mediterranean & Global | Dist: 3.4 mi
Shogun Japanese Restaurant | Neighborhood: Northside & Foothills | Cuisine: Asian & Sushi | Dist: 5.4 mi
Shooters Bar and Grill | Neighborhood: Northside & Foothills | Cuisine: Bar, Pub & Brewery | Dist: 2.7 mi
SideCar | Neighborhood: Central & Midtown | Cuisine: Bar, Pub & Brewery | Dist: 2.5 mi
Silver Mine Subs | Neighborhood: Central & University | Cuisine: Fast Food & Sandwiches | Dist: 2 mi
Silver Saddle | Neighborhood: Southside & Heritage | Cuisine: Steakhouse & BBQ | Dist: 8.5 mi
Sinbad's | Neighborhood: Central & University | Cuisine: Mediterranean & Global | Dist: 2.1 mi
Sir Veza's | Neighborhood: Southside & Heritage | Cuisine: Mexican & Sonoran | Dist: 8 mi
Sky Bar | Neighborhood: Central & Midtown | Cuisine: Bar, Pub & Brewery | Dist: 2.5 mi
Sky Rider Cafe | Neighborhood: Northwest & Marana | Cuisine: Coffee & Cafe | Dist: 20.8 mi
Slice & Ice (Tanque V.) | Neighborhood: Eastside & Vail | Cuisine: Fast Food & Sandwiches | Dist: 5 mi
Slot Canyon Cafe | Neighborhood: Central & University | Cuisine: Coffee & Cafe | Dist: 1.9 mi
Smashburger | Neighborhood: Central & Midtown | Cuisine: Fast Food & Sandwiches | Dist: 2.3 mi
Smokey Mo's | Neighborhood: Central & Midtown | Cuisine: Steakhouse & BBQ | Dist: 3 mi
Smoothie Factory | Neighborhood: Central & University | Cuisine: Boba Tea & Beverages | Dist: 1.9 mi
Snack Shack | Neighborhood: Northwest & Marana | Cuisine: Fast Food & Sandwiches | Dist: 25.8 mi
snack. | Neighborhood: Urban Core | Cuisine: Fast Food & Sandwiches | Dist: 4.5 mi
Snake & Barrel | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 5.2 mi
Snakes & Lattes | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 4.1 mi
Snakes & Lattes Tucson | Neighborhood: Central & University | Cuisine: Coffee & Cafe | Dist: 2 mi
Snooze | Neighborhood: Central & Midtown | Cuisine: Breakfast & Diner | Dist: 1.3 mi
Sodalicious | Neighborhood: Northwest & Marana | Cuisine: Boba Tea & Beverages | Dist: 15.7 mi
Solid Grindz | Neighborhood: Eastside & Vail | Cuisine: Mediterranean & Global | Dist: 4.5 mi
Sonic | Neighborhood: Central & Midtown | Cuisine: Fast Food & Sandwiches | Dist: 1.3 mi
Sonkissed Kitchen | Neighborhood: Northside & Foothills | Cuisine: Healthy, Vegan & Plant-Based | Dist: 9 mi
Sonora Moonshine Co | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 5.2 mi
Sonoran Brunch Company | Neighborhood: Central & Midtown | Cuisine: Breakfast & Diner | Dist: 3 mi
Sonoran Delights | Neighborhood: Westside & Downtown | Cuisine: Mexican & Sonoran | Dist: 3.9 mi
Special Eats Sweets | Neighborhood: Central & Midtown | Cuisine: Dessert & Bakery | Dist: 2.5 mi
Spice Garden | Neighborhood: Northwest & Marana | Cuisine: Asian & Sushi | Dist: 12.7 mi
St. Cruz Restaurant | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 5.5 mi
St. Mary's Mexican Food | Neighborhood: Urban Core | Cuisine: Mexican & Sonoran | Dist: 4.5 mi
Stacks Book Club | Neighborhood: Northside & Foothills | Cuisine: Coffee & Cafe | Dist: 10 mi
Stage Left | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 5 mi
Starbucks | Neighborhood: Central & Midtown | Cuisine: Coffee & Cafe | Dist: 0.2 mi
Street Taco & Beer Co | Neighborhood: Eastside & Vail | Cuisine: Mexican & Sonoran | Dist: 2.7 mi
Street Taco and Beer Co | Neighborhood: Urban Core | Cuisine: Mexican & Sonoran | Dist: 3 mi
Studio Janos | Neighborhood: Urban Core | Cuisine: American & Comfort | Dist: 5 mi
Subway | Neighborhood: Central & Midtown | Cuisine: Fast Food & Sandwiches | Dist: 1.2 mi
Sue's Fish & Chips | Neighborhood: Southside & Heritage | Cuisine: Seafood | Dist: 8 mi
Sugar Skull Cakes | Neighborhood: Central & Midtown | Cuisine: Dessert & Bakery | Dist: 0.1 mi
Sullivan's | Neighborhood: Northside & Foothills | Cuisine: Steakhouse & BBQ | Dist: 4.3 mi
Sultan Palace | Neighborhood: Central & University | Cuisine: Mediterranean & Global | Dist: 2 mi
Sundance Cafe | Neighborhood: Northside & Foothills | Cuisine: Breakfast & Diner | Dist: 9.5 mi
Sunny Daze Café | Neighborhood: Southside & Heritage | Cuisine: Coffee & Cafe | Dist: 5.1 mi
Sunnyside Up | Neighborhood: Northside & Foothills | Cuisine: Breakfast & Diner | Dist: 17.9 mi
Sunrise Cafe | Neighborhood: Northside & Foothills | Cuisine: Breakfast & Diner | Dist: 6 mi
Sunshine Wine | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 5.5 mi
Surf Thru Express | Neighborhood: Eastside & Vail | Cuisine: Coffee & Cafe | Dist: 13 mi
Surly Wench | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 2.5 mi
Surly Wench Pub | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 4.5 mi
Sushi Cortaro | Neighborhood: Northwest & Marana | Cuisine: Asian & Sushi | Dist: 13.1 mi
Sushi Cortaro on River | Neighborhood: Northside & Foothills | Cuisine: Asian & Sushi | Dist: 5.1 mi
Sushi Garden | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 0.9 mi
Sushi III | Neighborhood: Northside & Foothills | Cuisine: Asian & Sushi | Dist: 4.6 mi
Sushi Matsu | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 2.5 mi
Sushi on Oracle | Neighborhood: Northside & Foothills | Cuisine: Asian & Sushi | Dist: 6.9 mi
Sushi Valley | Neighborhood: Northside & Foothills | Cuisine: Asian & Sushi | Dist: 9.8 mi
Sushi Zona | Neighborhood: Northside & Foothills | Cuisine: Asian & Sushi | Dist: 4 mi
Sushi Zuzu | Neighborhood: Westside & Downtown | Cuisine: Asian & Sushi | Dist: 4.6 mi
Sushi-Ten | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 0.7 mi
Sweet Tomatoes | Neighborhood: Eastside & Vail | Cuisine: Healthy, Vegan & Plant-Based | Dist: 3.8 mi
SweetScape Desserts | Neighborhood: Southside & Heritage | Cuisine: Dessert & Bakery | Dist: 9 mi
TABU Restaurant | Neighborhood: Urban Core | Cuisine: American & Comfort | Dist: 5.2 mi
Taco Apson | Neighborhood: Northwest & Marana | Cuisine: Mexican & Sonoran | Dist: 9.7 mi
Taco Bell | Neighborhood: Central & Midtown | Cuisine: Mexican & Sonoran | Dist: 1.2 mi
Taco Giro | Neighborhood: Central & Midtown | Cuisine: Mexican & Sonoran | Dist: 3.5 mi
Taco Plus | Neighborhood: Central & Midtown | Cuisine: Mexican & Sonoran | Dist: 1.4 mi
Tacos Apson | Neighborhood: Southside & Heritage | Cuisine: Mexican & Sonoran | Dist: 4.7 mi
Tacos del Rancho | Neighborhood: Northside & Foothills | Cuisine: Mexican & Sonoran | Dist: 6.9 mi
Tacos El Cuate | Neighborhood: Southside & Heritage | Cuisine: Mexican & Sonoran | Dist: 7.4 mi
Talega Coffee Co | Neighborhood: Urban Core | Cuisine: Coffee & Cafe | Dist: 5.5 mi
Tandem American Eatery | Neighborhood: Eastside & Vail | Cuisine: American & Comfort | Dist: 7.2 mi
Tandem Eatery | Neighborhood: Eastside & Vail | Cuisine: American & Comfort | Dist: 9.5 mi
Tania's Mexican Food | Neighborhood: Westside & Downtown | Cuisine: Mexican & Sonoran | Dist: 8.5 mi
Tanias 33 | Neighborhood: Urban Core | Cuisine: Mexican & Sonoran | Dist: 5 mi
Tanque Verde Ranch | Neighborhood: Eastside & Vail | Cuisine: American & Comfort | Dist: 12 mi
Tap & Bottle | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 2.7 mi
Taqueria 2 Hermanos | Neighborhood: Eastside & Vail | Cuisine: Mexican & Sonoran | Dist: 13.5 mi
Taqueria El Pueblito | Neighborhood: Central & Midtown | Cuisine: Mexican & Sonoran | Dist: 2.4 mi
Taqueria Jason | Neighborhood: Southside & Heritage | Cuisine: Mexican & Sonoran | Dist: 6.2 mi
Taqueria Juanito's | Neighborhood: Westside & Downtown | Cuisine: Mexican & Sonoran | Dist: 3.8 mi
Taqueria Pico de Gallo | Neighborhood: Southside & Heritage | Cuisine: Mexican & Sonoran | Dist: 6 mi
Tavolino Ristorante Italiano | Neighborhood: Northside & Foothills | Cuisine: Italian & Pizza | Dist: 6.1 mi
Teaspoon | Neighborhood: Northside & Foothills | Cuisine: Coffee & Cafe | Dist: 4.4 mi
Teresa's Mosaic Cafe | Neighborhood: Central & Midtown | Cuisine: Mexican & Sonoran | Dist: 4 mi
Terraza Garden | Neighborhood: Northside & Foothills | Cuisine: American & Comfort | Dist: 5.6 mi
Tesoro | Neighborhood: Northside & Foothills | Cuisine: American & Comfort | Dist: 4.8 mi
Texas Roadhouse | Neighborhood: Eastside & Vail | Cuisine: Steakhouse & BBQ | Dist: 2.8 mi
The B Line | Neighborhood: Urban Core | Cuisine: American & Comfort | Dist: 4.5 mi
THE BAGEL JOINT | Neighborhood: Northside & Foothills | Cuisine: Fast Food & Sandwiches | Dist: 7.9 mi
The Barnyard | Neighborhood: Eastside & Vail | Cuisine: American & Comfort | Dist: 8 mi
The Black Top Grill | Neighborhood: Northwest & Marana | Cuisine: Fast Food & Sandwiches | Dist: 7.8 mi
The Blind Pig | Neighborhood: Urban Core | Cuisine: American & Comfort | Dist: 4.2 mi
The Board Room | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 5 mi
The Broadway | Neighborhood: Central & Midtown | Cuisine: Bar, Pub & Brewery | Dist: 1 mi
The Buffalo Spot | Neighborhood: Urban Core | Cuisine: Fast Food & Sandwiches | Dist: 4 mi
The Buffet | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 2.4 mi
The Buffet Bar | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 4.6 mi
The Canyon Club | Neighborhood: Northside & Foothills | Cuisine: American & Comfort | Dist: 6.2 mi
The Century Room | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 4.8 mi
The Cheesecake Factory | Neighborhood: Northside & Foothills | Cuisine: American & Comfort | Dist: 4.7 mi
The Cork Tucson | Neighborhood: Eastside & Vail | Cuisine: Steakhouse & BBQ | Dist: 4 mi
The Coronet | Neighborhood: Urban Core | Cuisine: Mediterranean & Global | Dist: 5.8 mi
The Cottonwood | Neighborhood: Westside & Downtown | Cuisine: Coffee & Cafe | Dist: 14.3 mi
The Depot | Neighborhood: Central & Midtown | Cuisine: American & Comfort | Dist: 2.2 mi
The Dutch Eatery & Refuge | Neighborhood: Central & University | Cuisine: American & Comfort | Dist: 4.5 mi
The Edge A Tucson Bar | Neighborhood: Northwest & Marana | Cuisine: Bar, Pub & Brewery | Dist: 5.7 mi
The Feedlot Cafe | Neighborhood: Northwest & Marana | Cuisine: Breakfast & Diner | Dist: 26 mi
The Flight Grill | Neighborhood: Southside & Heritage | Cuisine: American & Comfort | Dist: 7.3 mi
The Funky Monk | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 2.6 mi
The Grill | Neighborhood: Northside & Foothills | Cuisine: Steakhouse & BBQ | Dist: 5.6 mi
The Habit Burger Grill | Neighborhood: Westside & Downtown | Cuisine: Fast Food & Sandwiches | Dist: 6.2 mi
The Highlands Bar & Grille | Neighborhood: Northwest & Marana | Cuisine: Bar, Pub & Brewery | Dist: 17.1 mi
The Hills Tucson | Neighborhood: Northside & Foothills | Cuisine: American & Comfort | Dist: 6.9 mi
The Hoppy Vine | Neighborhood: Northside & Foothills | Cuisine: Bar, Pub & Brewery | Dist: 10.2 mi
The Horseshoe Grill | Neighborhood: Eastside & Vail | Cuisine: Steakhouse & BBQ | Dist: 7.5 mi
The Hub Restaurant and Ice Creamery | Neighborhood: Urban Core | Cuisine: Dessert & Bakery | Dist: 2.7 mi
The Hut | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 2.5 mi
The Hut Tucson | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 4.5 mi
The Kava Den | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 5.7 mi
The Keg Steakhouse & Bar | Neighborhood: Northside & Foothills | Cuisine: Steakhouse & BBQ | Dist: 13.1 mi
The Landing | Neighborhood: Northside & Foothills | Cuisine: American & Comfort | Dist: 10 mi
The Longhorn | Neighborhood: Eastside & Vail | Cuisine: Steakhouse & BBQ | Dist: 25 mi
The Lounge | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 2.6 mi
The Maverick | Neighborhood: Southside & Heritage | Cuisine: Bar, Pub & Brewery | Dist: 8 mi
The Monica | Neighborhood: Urban Core | Cuisine: American & Comfort | Dist: 2.9 mi
The Neighborhood | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 5.6 mi
The Oink Cafe | Neighborhood: Eastside & Vail | Cuisine: Breakfast & Diner | Dist: 5 mi
The Overlook | Neighborhood: Northwest & Marana | Cuisine: American & Comfort | Dist: 12.4 mi
The Parish | Neighborhood: Northside & Foothills | Cuisine: American & Comfort | Dist: 6.9 mi
The Pink Scoop | Neighborhood: Urban Core | Cuisine: Dessert & Bakery | Dist: 5.4 mi
The Quesadillas | Neighborhood: Eastside & Vail | Cuisine: Mexican & Sonoran | Dist: 4 mi
The Rock | Neighborhood: Central & Midtown | Cuisine: Bar, Pub & Brewery | Dist: 2 mi
The Royal Room | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 2.7 mi
The Saddle | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 4.2 mi
The Screamery | Neighborhood: Urban Core | Cuisine: Dessert & Bakery | Dist: 5.4 mi
The Screening Room | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 5 mi
The Shanty | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 2.5 mi
The Shelter Cocktail Lounge | Neighborhood: Central & Midtown | Cuisine: Bar, Pub & Brewery | Dist: 3 mi
The Station Pub and Grill | Neighborhood: Northwest & Marana | Cuisine: Bar, Pub & Brewery | Dist: 13.9 mi
The Taco Shop Co. | Neighborhood: Central & Midtown | Cuisine: Mexican & Sonoran | Dist: 1.9 mi
The Taco Spot | Neighborhood: Northside & Foothills | Cuisine: Mexican & Sonoran | Dist: 4.7 mi
The Treasury 1929 | Neighborhood: Urban Core | Cuisine: American & Comfort | Dist: 5 mi
The Views Lounge | Neighborhood: Northside & Foothills | Cuisine: Bar, Pub & Brewery | Dist: 15.8 mi
The Views Restaurant | Neighborhood: Northside & Foothills | Cuisine: American & Comfort | Dist: 15.8 mi
The WaterHole | Neighborhood: Northwest & Marana | Cuisine: Bar, Pub & Brewery | Dist: 25.2 mi
Three Canyon | Neighborhood: Northside & Foothills | Cuisine: Bar, Pub & Brewery | Dist: 8.8 mi
Three Canyon Beer and Wine Garden | Neighborhood: Northside & Foothills | Cuisine: American & Comfort | Dist: 7.3 mi
Three Points Restaurant | Neighborhood: Westside & Downtown | Cuisine: American & Comfort | Dist: 25.3 mi
Thunder Canyon Brewstillery | Neighborhood: Southside & Heritage | Cuisine: Bar, Pub & Brewery | Dist: 7.9 mi
Tiger's Tap Room | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 2.6 mi
Time Market | Neighborhood: Central & Midtown | Cuisine: Coffee & Cafe | Dist: 2.4 mi
Tiny's Saloon & Steakhouse | Neighborhood: Southside & Heritage | Cuisine: Steakhouse & BBQ | Dist: 8 mi
Tio Ben's | Neighborhood: Northside & Foothills | Cuisine: Mexican & Sonoran | Dist: 7.8 mi
Tito & Pep | Neighborhood: Central & Midtown | Cuisine: American & Comfort | Dist: 1 mi
Toast 101 | Neighborhood: Central & Midtown | Cuisine: Breakfast & Diner | Dist: 1.8 mi
Tohono Chul Bistro | Neighborhood: Northside & Foothills | Cuisine: American & Comfort | Dist: 6.8 mi
Tony's New York Style Italian Deli | Neighborhood: Eastside & Vail | Cuisine: Fast Food & Sandwiches | Dist: 4.2 mi
Tooley's Cafe | Neighborhood: Central & Midtown | Cuisine: Coffee & Cafe | Dist: 2.2 mi
Top Golf | Neighborhood: Northwest & Marana | Cuisine: Bar, Pub & Brewery | Dist: 8 mi
Toro Bravo | Neighborhood: Eastside & Vail | Cuisine: Mexican & Sonoran | Dist: 18.9 mi
Toss II Ramen | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 2.4 mi
Tough Luck Club | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 5 mi
Trattoria Pina | Neighborhood: Northside & Foothills | Cuisine: Italian & Pizza | Dist: 4 mi
Traxide Taproom | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 2.5 mi
Trident Grill | Neighborhood: Central & Midtown | Cuisine: Bar, Pub & Brewery | Dist: 1.1 mi
Triple T Truck Stop | Neighborhood: Eastside & Vail | Cuisine: Breakfast & Diner | Dist: 15 mi
Tropical Smoothie | Neighborhood: Eastside & Vail | Cuisine: Healthy, Vegan & Plant-Based | Dist: 13 mi
Tropical Smoothie Cafe | Neighborhood: Northwest & Marana | Cuisine: Healthy, Vegan & Plant-Based | Dist: 11.8 mi
True Food Kitchen | Neighborhood: Northside & Foothills | Cuisine: Healthy, Vegan & Plant-Based | Dist: 6.3 mi
Truland | Neighborhood: Northside & Foothills | Cuisine: American & Comfort | Dist: 7.9 mi
Truland Burgers | Neighborhood: Central & Midtown | Cuisine: Fast Food & Sandwiches | Dist: 1.5 mi
Tucson Chocolate | Neighborhood: Urban Core | Cuisine: Dessert & Bakery | Dist: 5.5 mi
Tucson Hop Shop | Neighborhood: Central & Midtown | Cuisine: Bar, Pub & Brewery | Dist: 2.3 mi
Tuk Tuk Thai | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 2.2 mi
Tumbleweed Lounge | Neighborhood: Northwest & Marana | Cuisine: Bar, Pub & Brewery | Dist: 23.1 mi
Tumerico | Neighborhood: Central & Midtown | Cuisine: Healthy, Vegan & Plant-Based | Dist: 0.8 mi
Turkish Kebab House | Neighborhood: Urban Core | Cuisine: Mediterranean & Global | Dist: 4 mi
Turquesa Latin Grill | Neighborhood: Northwest & Marana | Cuisine: Mexican & Sonoran | Dist: 8.5 mi
Tutti Frutti | Neighborhood: Eastside & Vail | Cuisine: Dessert & Bakery | Dist: 2.7 mi
Tuxon Chix | Neighborhood: Central & Midtown | Cuisine: Fast Food & Sandwiches | Dist: 1.5 mi
Twin Peaks Pizzeria | Neighborhood: Northwest & Marana | Cuisine: Italian & Pizza | Dist: 15.3 mi
Twinkies Creations | Neighborhood: Central & Midtown | Cuisine: Dessert & Bakery | Dist: 0.1 mi
Two Girls Pizzeria | Neighborhood: Southside & Heritage | Cuisine: Italian & Pizza | Dist: 18 mi
Two Girls Pizzeria & Bistro | Neighborhood: Westside & Downtown | Cuisine: Italian & Pizza | Dist: 23.1 mi
Two Hands Corn Dogs | Neighborhood: Central & Midtown | Cuisine: Fast Food & Sandwiches | Dist: 1.8 mi
Umetea | Neighborhood: Central & Midtown | Cuisine: Boba Tea & Beverages | Dist: 2.4 mi
UnCork'd Kitchen & Cocktails | Neighborhood: Eastside & Vail | Cuisine: Bar, Pub & Brewery | Dist: 3.9 mi
Union Public House | Neighborhood: Northside & Foothills | Cuisine: Bar, Pub & Brewery | Dist: 4.3 mi
Upper Crust Pizza | Neighborhood: Central & Midtown | Cuisine: Italian & Pizza | Dist: 1.6 mi
Uptown Burger | Neighborhood: Northside & Foothills | Cuisine: Fast Food & Sandwiches | Dist: 6.1 mi
Urban Fresh | Neighborhood: Urban Core | Cuisine: Healthy, Vegan & Plant-Based | Dist: 5 mi
Ursa | Neighborhood: Urban Core | Cuisine: American & Comfort | Dist: 5.4 mi
Ventana Bar & Grill | Neighborhood: Northside & Foothills | Cuisine: American & Comfort | Dist: 6.2 mi
Venture-N | Neighborhood: Central & Midtown | Cuisine: Bar, Pub & Brewery | Dist: 2.7 mi
Vero Amore | Neighborhood: Northside & Foothills | Cuisine: Italian & Pizza | Dist: 5 mi
Vertigo Wines | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 5 mi
Victoria Cocina | Neighborhood: Northside & Foothills | Cuisine: Mexican & Sonoran | Dist: 7.5 mi
Vila Thai | Neighborhood: Central & University | Cuisine: Asian & Sushi | Dist: 1.9 mi
Villa Peru | Neighborhood: Northside & Foothills | Cuisine: Mediterranean & Global | Dist: 4.4 mi
Villa's Market | Neighborhood: Northwest & Marana | Cuisine: Mexican & Sonoran | Dist: 8 mi
Village Bakehouse | Neighborhood: Northside & Foothills | Cuisine: Dessert & Bakery | Dist: 8.5 mi
Village Inn | Neighborhood: Eastside & Vail | Cuisine: Breakfast & Diner | Dist: 8.1 mi
Vista Barista | Neighborhood: Northside & Foothills | Cuisine: Coffee & Cafe | Dist: 6.2 mi
Vitality Bowls | Neighborhood: Northside & Foothills | Cuisine: Healthy, Vegan & Plant-Based | Dist: 10.8 mi
Viva Burrito | Neighborhood: Southside & Heritage | Cuisine: Mexican & Sonoran | Dist: 5 mi
Viva Mexican Food | Neighborhood: Central & Midtown | Cuisine: Mexican & Sonoran | Dist: 3.4 mi
Vivace | Neighborhood: Northside & Foothills | Cuisine: Italian & Pizza | Dist: 5.5 mi
Waffle House | Neighborhood: Central & Midtown | Cuisine: Breakfast & Diner | Dist: 3.9 mi
Walter's Pizzeria | Neighborhood: Southside & Heritage | Cuisine: Italian & Pizza | Dist: 6 mi
Way of Bean Coffee Club | Neighborhood: Eastside & Vail | Cuisine: Coffee & Cafe | Dist: 27.5 mi
Wendy's | Neighborhood: Central & University | Cuisine: Fast Food & Sandwiches | Dist: 1.2 mi
Westbound | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 3.7 mi
Wetzel's Pretzels | Neighborhood: Northwest & Marana | Cuisine: Fast Food & Sandwiches | Dist: 14.2 mi
What A Burro | Neighborhood: Southside & Heritage | Cuisine: Mexican & Sonoran | Dist: 7.4 mi
What’s Cookin Mexican Food | Neighborhood: Central & Midtown | Cuisine: Mexican & Sonoran | Dist: 2.6 mi
What's Cookin' Mexican | Neighborhood: Central & Midtown | Cuisine: Mexican & Sonoran | Dist: 1.1 mi
